Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
171,Ayman Azhil,MAR,MF,Dortmund,Bundesliga,23,2001,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Adam Aznou,MAR,DF,Bayern Munich,Bundesliga,18,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,César Azpilicueta,ESP,DF,Atlético Madrid,La Liga,35,1989,5.8,0,4,1,25,0.69,0.17,0,0,15.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2
174,Paulo Azzi,BRA,DF,Cagliari,Serie A,30,1994,4.7,0,8,3,37.5,1.69,0.63,0,0,16.8,0,0,0,0.5,0.5,0.07,-0.5,-0.5
175,Papa Ba,ESP,MF,Girona,La Liga,20,2004,0.5,0,1,0,0,1.87,0,0,0,9.8,0,0,0,0,0,0.03,0,0
176,Shavy Babicka,GAB,"MF,FW",Toulouse,Ligue 1,24,2000,6.3,4,13,6,46.2,2.08,0.96,0.31,0.67,13.8,0,0,0,2.5,2.5,0.19,1.5,1.5
177,Aliou Badara Baldé,GUI,"MF,FW",Bochum,Bundesliga,22,2002,1,0,4,1,25,3.96,0.99,0,0,26.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2
178,Loïc Bade,FRA,DF,Sevilla,La Liga,24,2000,16.2,1,9,3,33.3,0.55,0.18,0.11,0.33,14.7,0,0,0,0.4,0.4,0.05,0.6,0.6
179,Milan Badelj,CRO,MF,Genoa,Serie A,35,1989,13.6,1,14,2,14.3,1.03,0.15,0.07,0.5,21,0,0,0,1,1,0.07,0,0
180,Benoît Badiashile,FRA,DF,Chelsea,Premier League,23,2001,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,23,2001,17.2,5,37,9,24.3,2.15,0.52,0.14,0.56,19.9,6,0,1,4.9,4.1,0.11,0.1,0.9
182,Juma Bah,SLE,DF,Valladolid,La Liga,18,2006,9.6,0,3,1,33.3,0.31,0.1,0,0,9.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3
183,Juma Bah,SLE,DF,Lens,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Leon Bailey,JAM,"FW,MF",Aston Villa,Premier League,27,1997,11,1,22,5,22.7,2,0.45,0.05,0.2,17.3,1,0,0,1.4,1.4,0.06,-0.4,-0.4
185,Eric Bailly,CIV,DF,Villarreal,La Liga,30,1994,6.4,0,4,0,0,0.62,0,0,0,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
186,Theo Bair,CAN,FW,Auxerre,Ligue 1,25,1999,4.9,1,11,6,54.5,2.23,1.22,0.09,0.17,11,0,0,0,1.6,1.6,0.14,-0.6,-0.6
187,Cédric Bakambu,COD,FW,Betis,La Liga,33,1991,4.1,1,13,5,38.5,3.19,1.23,0.08,0.2,13.7,0,0,0,1.7,1.7,0.13,-0.7,-0.7
188,Mitchel Bakker,NED,MF,Atalanta,Serie A,24,2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Mitchel Bakker,NED,"DF,FW",Lille,Ligue 1,24,2000,6.1,2,13,6,46.2,2.13,0.98,0.15,0.33,16.2,1,0,0,2.1,2.1,0.16,-0.1,-0.1
190,Darryl Bakola,FRA,DF,Marseille,Ligue 1,17,2007,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Ridle Baku,GER,"FW,MF",Wolfsburg,Bundesliga,26,1998,13,2,18,6,33.3,1.38,0.46,0.11,0.33,19.9,0,0,0,1.5,1.5,0.08,0.5,0.5
192,Ridle Baku,GER,"DF,MF",RB Leipzig,Bundesliga,26,1998,2.4,0,1,0,0,0.42,0,0,0,16,0,0,0,0.2,0.2,0.16,-0.2,-0.2
193,Dilane Bakwa,FRA,"MF,FW",Strasbourg,Ligue 1,22,2002,17.3,2,34,14,41.2,1.97,0.81,0.06,0.14,21.8,4,0,0,2.8,2.8,0.08,-0.8,-0.8
194,Tommaso Baldanzi,ITA,"MF,FW",Roma,Serie A,21,2003,5.2,1,14,1,7.1,2.68,0.19,0.07,1,19.5,0,0,0,1.1,1.1,0.08,-0.1,-0.1
195,Alejandro Balde,ESP,DF,Barcelona,La Liga,21,2003,16,0,9,2,22.2,0.56,0.13,0,0,20,0,0,0,0.4,0.4,0.04,-0.4,-0.4
196,Carlos Baleba,CMR,MF,Brighton,Premier League,21,2004,16.9,2,28,7,25,1.66,0.41,0.07,0.29,25.6,0,0,0,1.3,1.3,0.05,0.7,0.7
197,Leonardo Balerdi,ARG,DF,Marseille,Ligue 1,26,1999,15,0,3,1,33.3,0.2,0.07,0,0,27.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1
