Rank,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
543,Tanguy Coulibaly,FRA,"FW,MF",Montpellier,Ligue 1,23,2001,5,1,10,4,40,2,0.8,0.1,0.25,15.8,0,0,0,0.6,0.6,0.06,0.4,0.4
544,Woyo Coulibaly,FRA,DF,Leicester City,Premier League,25,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Woyo Coulibaly,FRA,DF,Parma,Serie A,25,1999,12,0,3,0,0,0.25,0,0,0,23.7,0,0,0,0.1,0.1,0.05,-0.1,-0.1
546,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32,1992,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547,Yan Couto,BRA,DF,Dortmund,Bundesliga,22,2002,6.3,0,4,2,50,0.64,0.32,0,0,21.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2
548,Nicolas Cozza,FRA,DF,Nantes,Ligue 1,26,1999,14.2,1,9,4,44.4,0.63,0.28,0.11,0.25,15.1,0,0,0,1,1,0.11,0,0
549,Aaron Cresswell,ENG,DF,West Ham,Premier League,35,1989,2.3,0,1,0,0,0.43,0,0,0,31.6,1,0,0,0,0,0.03,0,0
550,Charlie Cresswell,ENG,DF,Toulouse,Ligue 1,22,2002,15.8,0,16,5,31.3,1.01,0.32,0,0,10.4,0,0,0,1.6,1.6,0.1,-1.6,-1.6
551,Bryan Cristante,ITA,MF,Roma,Serie A,29,1995,11.2,1,13,2,15.4,1.16,0.18,0.08,0.5,15.1,0,0,0,0.8,0.8,0.06,0.2,0.2
552,Domen Črnigoj,SVN,MF,Venezia,Serie A,29,1995,1.5,0,1,0,0,0.66,0,0,0,10.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1
553,Juan Cruz Armada,ESP,DF,Osasuna,La Liga,32,1992,8.8,0,3,0,0,0.34,0,0,0,13.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1
554,Juan Cruz,ESP,"FW,DF",Leganés,La Liga,24,2000,14.9,4,23,10,43.5,1.54,0.67,0.17,0.4,20.7,1,0,0,1.5,1.5,0.07,2.5,2.5
555,Juan Cuadrado,COL,"DF,MF",Atalanta,Serie A,36,1988,3.5,0,8,1,12.5,2.29,0.29,0,0,14.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6
556,Pau Cubarsí,ESP,DF,Barcelona,La Liga,18,2007,18.5,0,7,0,0,0.38,0,0,0,8.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7
557,Marc Cucurella,ESP,DF,Chelsea,Premier League,26,1998,19,2,11,3,27.3,0.58,0.16,0.18,0.67,16.7,0,0,0,1.5,1.5,0.14,0.5,0.5
558,Jorge Cuenca,ESP,DF,Fulham,Premier League,25,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Matheus Cunha,BRA,"MF,FW",Wolves,Premier League,25,1999,19.8,10,67,26,38.8,3.38,1.31,0.15,0.38,20.4,5,0,0,4.8,4.8,0.07,5.2,5.2
560,Patrick Cutrone,ITA,FW,Como,Serie A,27,1998,16.9,6,49,20,40.8,2.9,1.18,0.12,0.3,16.1,0,0,1,5.3,4.5,0.09,0.7,1.5
561,Tomáš Čvančara,CZE,"FW,MF",Gladbach,Bundesliga,24,2000,4.9,1,11,5,45.5,2.23,1.02,0.09,0.2,13.8,0,0,0,1.7,1.7,0.15,-0.7,-0.7
562,Wylan Cyprien,FRA,MF,Parma,Serie A,30,1995,0.3,0,1,0,0,3.21,0,0,0,15.2,0,0,0,0.2,0.2,0.2,-0.2,-0.2
563,Danilo D'Ambrosio,ITA,DF,Monza,Serie A,36,1988,6.7,0,5,2,40,0.75,0.3,0,0,15,0,0,0,0.3,0.3,0.07,-0.3,-0.3
564,Lucas Da Cunha,FRA,MF,Como,Serie A,23,2001,14.5,1,14,4,28.6,0.96,0.28,0.07,0.25,21.7,2,0,0,0.5,0.5,0.04,0.5,0.5
565,Samuel Dahl,SWE,"DF,MF",Roma,Serie A,24,2000,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
566,Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,Mahmoud Dahoud,GER,MF,Eint Frankfurt,Bundesliga,29,1996,3.6,1,5,2,40,1.39,0.56,0.2,0.5,19.4,0,0,0,0.5,0.5,0.09,0.5,0.5
568,Patson Daka,ZAM,"FW,MF",Leicester City,Premier League,26,1998,3.1,1,7,1,14.3,2.28,0.33,0.14,1,16,0,0,0,0.5,0.5,0.07,0.5,0.5
569,Ameen Al-Dakhil,BEL,DF,Stuttgart,Bundesliga,22,2002,2.7,0,1,0,0,0.37,0,0,0,19.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1
570,Thijs Dallinga,NED,"FW,MF",Bologna,Serie A,24,2000,4.9,2,15,6,40,3.04,1.22,0.13,0.33,9.6,0,0,0,2.6,2.6,0.17,-0.6,-0.6
571,Diogo Dalot,POR,DF,Manchester Utd,Premier League,25,1999,21.6,0,15,4,26.7,0.69,0.18,0,0,19.2,0,0,0,1.3,1.3,0.08,-1.3,-1.3
572,Mikkel Damsgaard,DEN,"MF,FW",Brentford,Premier League,24,2000,18.9,2,20,7,35,1.06,0.37,0.1,0.29,15.8,2,0,0,1.9,1.9,0.09,0.1,0.1
573,Flavius Daniliuc,AUT,DF,Hellas Verona,Serie A,23,2001,8.3,0,2,1,50,0.24,0.12,0,0,10.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
574,Danilo,BRA,MF,Nott'ham Forest,Premier League,23,2001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
575,Danilo,BRA,DF,Juventus,Serie A,33,1991,6.5,0,1,0,0,0.15,0,0,0,8.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1
576,Arnaut Danjuma,NED,FW,Villarreal,La Liga,28,1997,2.2,2,6,3,50,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2
577,Arnaut Danjuma,NED,"FW,MF",Girona,La Liga,28,1997,8.9,1,15,8,53.3,1.69,0.9,0.07,0.13,16.1,0,0,0,1.7,1.7,0.12,-0.7,-0.7
578,Jayden Danns,ENG,MF,Liverpool,Premier League,19,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,Kévin Danois,FRA,MF,Auxerre,Ligue 1,20,2004,9.8,0,11,0,0,1.12,0,0,0,18.1,0,0,0,0.7,0.7,0.06,-0.7,-0.7
580,Kevin Danso,AUT,DF,Lens,Ligue 1,26,1998,12,0,10,2,20,0.83,0.17,0,0,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5
581,Dante,BRA,DF,Nice,Ligue 1,41,1983,11.3,0,4,0,0,0.36,0,0,0,9.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2
582,Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,Ligue 1,0,0,0.8,1,5,2,40,6.16,2.47,0.2,0.5,11.5,0,0,0,1,1,0.2,0,0
583,Mohammed Daramy,DEN,FW,Reims,Ligue 1,23,2002,0.2,0,1,0,0,5.63,0,0,0,16.7,0,0,0,0,0,0.03,0,0
584,Bence Dárdai,GER,MF,Wolfsburg,Bundesliga,19,2006,7.6,1,4,1,25,0.52,0.13,0.25,1,16.7,0,0,0,0.4,0.4,0.09,0.6,0.6
585,Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,31,1993,14.7,0,19,4,21.1,1.3,0.27,0,0,22.9,1,0,0,1.5,1.5,0.08,-1.5,-1.5
586,Matteo Darmian,ITA,DF,Inter,Serie A,35,1989,11.9,2,7,2,28.6,0.59,0.17,0.29,1,16.7,0,0,0,1.2,1.2,0.17,0.8,0.8
587,Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,26,1998,4.6,1,8,4,50,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9
588,Juan David Cabal,COL,DF,Juventus,Serie A,24,2001,5.1,0,5,0,0,0.98,0,0,0,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
589,Jonathan David,CAN,FW,Lille,Ligue 1,25,2000,16.1,11,31,16,51.6,1.93,0.99,0.19,0.38,16.3,0,5,6,10.3,5.6,0.18,0.7,0.4
590,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,24,2000,15.1,1,17,3,17.6,1.13,0.2,0.06,0.33,18.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2
591,Ben Davies,WAL,DF,Tottenham,Premier League,31,1993,5,0,1,0,0,0.2,0,0,0,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
592,Keinan Davis,ENG,FW,Udinese,Serie A,26,1998,7.6,2,14,5,35.7,1.83,0.65,0.14,0.4,9.5,0,0,0,1.5,1.5,0.11,0.5,0.5
593,Leif Davis,ENG,DF,Ipswich Town,Premier League,25,2000,22.5,1,11,2,18.2,0.49,0.09,0.09,0.5,18.8,1,0,0,0.7,0.7,0.07,0.3,0.3
594,Zuriko Davitashvili,GEO,"MF,FW",Saint-Étienne,Ligue 1,23,2001,17.1,6,36,15,41.7,2.1,0.88,0.14,0.33,21.3,4,1,1,4,3.2,0.09,2,1.8
595,Paweł Dawidowicz,POL,DF,Hellas Verona,Serie A,29,1995,10.4,0,2,0,0,0.19,0,0,0,10.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2
596,Craig Dawson,ENG,DF,Wolves,Premier League,34,1990,10.8,0,5,1,20,0.46,0.09,0,0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5
597,Kevin De Bruyne,BEL,MF,Manchester City,Premier League,33,1991,11,2,33,8,24.2,2.99,0.73,0.06,0.25,22.5,4,0,0,2.5,2.5,0.08,-0.5,-0.5
598,Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23,2001,15.2,5,30,14,46.7,1.97,0.92,0.17,0.36,11.6,0,0,0,3.8,3.8,0.13,1.2,1.2
599,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30,1994,12.4,3,12,4,33.3,0.97,0.32,0.25,0.75,23.1,0,0,0,1.1,1.1,0.09,1.9,1.9
600,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,Mattia De Sciglio,ITA,DF,Empoli,Serie A,32,1992,3.7,0,2,1,50,0.53,0.27,0,0,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
602,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36,1988,6,0,2,0,0,0.33,0,0,0,14.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1
603,Thibault De Smet,BEL,DF,Reims,Ligue 1,26,1998,2.1,0,1,0,0,0.47,0,0,0,12.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1
604,Koni De Winter,BEL,DF,Genoa,Serie A,22,2002,11.1,2,7,5,71.4,0.63,0.45,0.29,0.4,8,0,0,0,1.2,1.2,0.17,0.8,0.8
605,Alessandro Deiola,ITA,MF,Cagliari,Serie A,29,1995,9.1,0,9,1,11.1,0.99,0.11,0,0,17.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
606,Romain Del Castillo,FRA,FW,Brest,Ligue 1,28,1996,10.6,4,12,6,50,1.13,0.57,0.08,0.17,21.2,0,3,4,4.4,1.2,0.1,-0.4,-0.2
607,Enrico Del Prato,ITA,DF,Parma,Serie A,25,1999,18.7,4,10,5,50,0.53,0.27,0.4,0.8,12,0,0,0,1.9,1.9,0.19,2.1,2.1
608,Liam Delap,ENG,FW,Ipswich Town,Premier League,21,2003,18.6,8,35,17,48.6,1.88,0.91,0.17,0.35,16.1,0,2,2,6.4,4.8,0.14,1.6,1.2
609,Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23,2001,7.1,2,10,2,20,1.41,0.28,0.2,1,20.2,0,0,0,0.7,0.7,0.07,1.3,1.3
610,Andy Delort,ALG,FW,Montpellier,Ligue 1,33,1991,0.7,0,2,0,0,2.86,0,0,0,10.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1
611,Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,24,2000,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,Ali Dembélé,FRA,DF,Torino,Serie A,21,2004,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,11.6,11,53,28,52.8,4.55,2.4,0.19,0.36,16.4,0,1,1,7.3,6.5,0.12,3.7,3.5
614,Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26,1998,12.6,8,37,13,35.1,2.94,1.03,0.22,0.62,12.7,0,0,2,7.2,5.5,0.15,0.8,2.5
615,Sepp van den Berg,NED,DF,Brentford,Premier League,23,2001,17.9,0,11,3,27.3,0.62,0.17,0,0,11.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8
616,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
617,Justin Devenny,NIR,MF,Crystal Palace,Premier League,21,2003,3,1,5,2,40,1.69,0.67,0.2,0.5,21,1,0,0,0.5,0.5,0.09,0.5,0.5
618,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,Premier League,26,1998,1.5,0,1,0,0,0.67,0,0,0,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2
619,Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,31,1993,22,3,12,4,33.3,0.55,0.18,0.25,0.75,10.7,0,0,0,2.3,2.3,0.22,0.7,0.7
621,Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,28,1996,13.1,6,19,12,63.2,1.45,0.92,0.32,0.5,13.2,0,0,0,3.4,3.4,0.18,2.6,2.6
622,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,28,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,19,2005,3,1,6,3,50,2.01,1,0.17,0.33,18.4,0,0,0,0.2,0.2,0.04,0.8,0.8
624,Bafodé Diakité,FRA,DF,Lille,Ligue 1,24,2001,19,3,10,5,50,0.53,0.26,0.3,0.6,8.3,0,0,0,1.7,1.7,0.17,1.3,1.3
625,Oumar Diakité,CIV,FW,Reims,Ligue 1,21,2003,14.5,4,22,6,27.3,1.52,0.41,0.18,0.67,10.9,0,0,0,4.4,4.4,0.2,-0.4,-0.4
626,Amad Diallo,CIV,"FW,MF",Manchester Utd,Premier League,22,2002,16.7,6,39,13,33.3,2.33,0.78,0.15,0.46,17.6,0,0,0,4,4,0.1,2,2
627,Assane Diao,ESP,"FW,MF",Como,Serie A,19,2005,3.8,2,6,3,50,1.59,0.79,0.33,0.67,14.4,0,0,0,0.7,0.7,0.12,1.3,1.3
628,Assane Diao,ESP,FW,Betis,La Liga,19,2005,3.1,1,7,1,14.3,2.27,0.32,0.14,1,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2
629,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,21,2004,17.2,4,17,10,58.8,0.99,0.58,0.12,0.2,20.8,0,2,2,2.6,1,0.06,1.4,1
630,Moussa Diarra,MLI,DF,Alavés,La Liga,24,2000,13.4,0,1,0,0,0.07,0,0,0,25.8,0,0,0,0,0,0.03,0,0
631,Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,13.1,0,13,3,23.1,0.99,0.23,0,0,20.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1
632,Krépin Diatta,SEN,DF,Monaco,Ligue 1,25,1999,2.4,0,2,1,50,0.85,0.42,0,0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2
633,Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
634,Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19,2005,0.5,0,1,0,0,2,0,0,0,16.7,0,0,0,0.2,0.2,0.17,-0.2,-0.2
635,Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
636,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,25,1999,8.6,3,14,7,50,1.63,0.81,0.21,0.43,12.4,0,0,0,2.9,2.9,0.21,0.1,0.1
637,Luis Díaz,COL,FW,Liverpool,Premier League,28,1997,14.9,8,44,19,43.2,2.96,1.28,0.18,0.42,14.3,0,0,0,6.1,6.1,0.14,1.9,1.9
638,Pedro Díaz,ESP,"MF,FW",Rayo Vallecano,La Liga,26,1998,2.4,0,4,0,0,1.67,0,0,0,22.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3
639,Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,13.7,2,23,9,39.1,1.68,0.66,0.09,0.22,20.5,0,0,0,2.1,2.1,0.09,-0.1,-0.1
640,Diego,ESP,"FW,MF",Leganés,La Liga,24,2000,4.7,1,12,4,33.3,2.55,0.85,0.08,0.25,13.3,0,0,0,1.3,1.3,0.11,-0.3,-0.3
641,Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,20,2004,0.9,1,7,1,14.3,7.59,1.08,0.14,1,15.8,0,0,0,1,1,0.14,0,0
642,Bamba Dieng,SEN,"FW,MF",Angers,Ligue 1,24,2000,4.7,2,12,5,41.7,2.54,1.06,0.17,0.4,17.7,2,0,0,2.3,2.3,0.19,-0.3,-0.3
643,Eric Dier,ENG,DF,Bayern Munich,Bundesliga,31,1994,4.3,0,3,1,33.3,0.7,0.23,0,0,7.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2
644,Lucas Digne,FRA,DF,Aston Villa,Premier League,31,1993,19.2,0,12,3,25,0.63,0.16,0,0,22.6,5,0,0,0.8,0.8,0.06,-0.8,-0.8
645,Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,Federico Dimarco,ITA,"DF,FW",Inter,Serie A,27,1997,15.7,3,37,12,32.4,2.36,0.77,0.08,0.25,20.5,5,0,0,2.1,2.1,0.06,0.9,0.9
647,Stole Dimitrievski,MKD,GK,Valencia,La Liga,31,1993,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
648,Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,24,2000,3.1,0,8,0,0,2.56,0,0,0,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9
649,Eren Dinkçi,GER,MF,Freiburg,Bundesliga,23,2001,9.9,0,11,2,18.2,1.11,0.2,0,0,21,0,0,0,0.7,0.7,0.06,-0.7,-0.7
650,Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23,2001,11.8,2,6,2,33.3,0.51,0.17,0.33,1,12.9,0,0,0,1,1,0.17,1,1
651,Lois Diony,FRA,FW,Angers,Ligue 1,32,1992,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,Issa Diop,FRA,DF,Fulham,Premier League,28,1997,11.9,0,5,2,40,0.42,0.17,0,0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
653,Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24,2000,8,5,18,10,55.6,2.24,1.24,0.28,0.5,16.5,3,0,0,5.1,5.1,0.28,-0.1,-0.1
654,Andy Diouf,FRA,MF,Lens,Ligue 1,21,2003,15.2,1,22,2,9.1,1.44,0.13,0.05,0.5,20.2,0,0,0,1.3,1.3,0.06,-0.3,-0.3
655,Yehvann Diouf,FRA,GK,Reims,Ligue 1,25,1999,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,Assane Dioussé,SEN,MF,Auxerre,Ligue 1,27,1997,2.1,0,2,1,50,0.95,0.47,0,0,26.6,0,0,0,0,0,0.02,0,0
657,Axel Disasi,FRA,DF,Chelsea,Premier League,26,1998,4,1,2,1,50,0.49,0.25,0.5,1,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7
658,Roman Dixon,ENG,DF,Everton,Premier League,20,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,Álvaro djaló,ESP,FW,Athletic Club,La Liga,25,1999,4.9,1,14,3,21.4,2.83,0.61,0.07,0.33,19.1,0,0,0,0.8,0.8,0.05,0.2,0.2
660,Djené,TOG,"DF,MF",Getafe,La Liga,33,1991,17,0,4,0,0,0.23,0,0,0,17.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
661,Berat Djimsiti,ALB,DF,Atalanta,Serie A,31,1993,16.7,0,11,2,18.2,0.66,0.12,0,0,9.5,0,0,0,2,2,0.18,-2,-2
662,Marko Dmitrović,SRB,GK,Leganés,La Liga,33,1992,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26,1998,17.7,6,32,14,43.8,1.8,0.79,0.19,0.43,16.1,0,0,0,3.9,3.9,0.15,2.1,2.1
664,Dodô,BRA,DF,Fiorentina,Serie A,26,1998,19.7,0,15,3,20,0.76,0.15,0,0,18.6,0,0,0,0.4,0.4,0.03,-0.4,-0.4
665,Danilho Doekhi,NED,DF,Union Berlin,Bundesliga,26,1998,19,1,19,2,10.5,1,0.11,0.05,0.5,11,0,0,0,1.6,1.6,0.09,-0.6,-0.6
666,Matt Doherty,IRL,DF,Wolves,Premier League,33,1992,11.9,2,8,3,37.5,0.67,0.25,0.25,0.67,10.9,0,0,0,0.9,0.9,0.12,1.1,1.1
667,Jeremy Doku,BEL,"FW,MF",Manchester City,Premier League,22,2002,8.8,3,17,6,35.3,1.94,0.68,0.18,0.5,18.1,0,0,0,0.8,0.8,0.04,2.2,2.2
668,Marc Domenech,ESP,FW,Mallorca,La Liga,19,2006,1.3,0,3,1,33.3,2.35,0.78,0,0,21.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1
669,Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,Benjamín Domínguez,ARG,FW,Bologna,Serie A,21,2003,6.6,3,17,11,64.7,2.58,1.67,0.18,0.27,19.3,0,0,0,1.5,1.5,0.09,1.5,1.5
671,Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,23,2001,5.8,0,3,1,33.3,0.51,0.17,0,0,8.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
672,Israel Domínguez,ESP,FW,Sevilla,La Liga,21,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,Premier League,26,1998,12.2,0,13,4,30.8,1.07,0.33,0,0,18,0,0,0,1.2,1.2,0.1,-1.2,-1.2
674,Sergi Dominguez,ESP,DF,Barcelona,La Liga,19,2005,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,Patrick Dorgu,DEN,"DF,FW",Lecce,Serie A,20,2004,20.4,3,36,10,27.8,1.76,0.49,0.08,0.3,19,0,0,0,3.3,3.3,0.09,-0.3,-0.3
677,Alfie Dorrington,ENG,DF,Tottenham,Premier League,19,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,Niklas Dorsch,GER,MF,Augsburg,Bundesliga,27,1998,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
679,Niklas Dorsch,GER,MF,Heidenheim,Bundesliga,27,1998,8.2,2,5,2,40,0.61,0.24,0.4,1,19.5,1,0,0,0.8,0.8,0.17,1.2,1.2
680,Alberto Dossena,ITA,DF,Como,Serie A,26,1998,16.8,0,11,3,27.3,0.65,0.18,0,0,11.2,0,0,0,0.7,0.7,0.07,-0.7,-0.7
681,Abdoulaye Doucouré,MLI,MF,Everton,Premier League,32,1993,17.7,0,11,2,18.2,0.62,0.11,0,0,15.8,0,0,0,0.9,0.9,0.08,-0.9,-0.9
682,Cheick Doucouré,MLI,MF,Crystal Palace,Premier League,25,2000,5,0,7,0,0,1.39,0,0,0,20.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
683,Désiré Doué,FRA,"FW,MF",Paris S-G,Ligue 1,19,2005,8.8,1,30,11,36.7,3.4,1.25,0.03,0.09,18.5,0,0,0,2.1,2.1,0.07,-1.1,-1.1
684,Guela Doué,CIV,DF,Strasbourg,Ligue 1,22,2002,18,1,14,6,42.9,0.78,0.33,0.07,0.17,14.7,0,0,0,0.7,0.7,0.05,0.3,0.3
685,Douglas,BRA,MF,Nantes,Ligue 1,28,1997,14.9,2,19,9,47.4,1.28,0.6,0.11,0.22,16.4,0,0,0,2,2,0.11,0,0
686,Ismaël Doukouré,FRA,"MF,DF",Strasbourg,Ligue 1,21,2003,15.8,0,1,0,0,0.06,0,0,0,22.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1
687,Issa Doumbia,CIV,MF,Venezia,Serie A,21,2003,4.9,0,6,3,50,1.22,0.61,0,0,17.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
688,Kamory Doumbia,MLI,MF,Brest,Ligue 1,21,2003,8.5,1,10,3,30,1.18,0.35,0.1,0.33,20.3,1,0,0,0.7,0.7,0.07,0.3,0.3
689,Amidou Doumbouya,FRA,DF,Nice,Ligue 1,17,2007,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
690,Anastasios Douvikas,GRE,FW,Celta Vigo,La Liga,25,1999,7.5,3,17,9,52.9,2.25,1.19,0.18,0.33,11.1,0,0,0,4.4,4.4,0.26,-1.4,-1.4
691,Artem Dovbyk,UKR,FW,Roma,Serie A,27,1997,18.3,8,37,14,37.8,2.02,0.76,0.16,0.43,13.3,0,2,2,8.3,6.8,0.18,-0.3,-0.8
692,Flynn Downes,ENG,MF,Southampton,Premier League,26,1999,15.9,1,9,3,33.3,0.57,0.19,0.11,0.33,17.6,0,0,0,0.6,0.6,0.07,0.4,0.4
693,Tommy Doyle,ENG,MF,Wolves,Premier League,23,2001,4.9,0,8,2,25,1.62,0.41,0,0,24.8,0,0,0,0.5,0.5,0.06,-0.5,-0.5
694,Radu Drăgușin,ROU,DF,Tottenham,Premier League,22,2002,13.9,0,5,1,20,0.36,0.07,0,0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
695,Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,Tim Drexler,GER,DF,Hoffenheim,Bundesliga,19,2005,4,0,2,2,100,0.5,0.5,0,0,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
697,Domingos Duarte,POR,DF,Getafe,La Liga,29,1995,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,36,1989,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
