Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 26_level_0
268,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,29-291,1995,11.8,1,10,2,20.0,0.85,0.17,0.10,0.50,14.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
269,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27-221,1997,8.6,2,15,3,20.0,1.74,0.35,0.13,0.67,20.1,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
270,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21-069,2003,12.1,1,5,3,60.0,0.41,0.25,0.20,0.33,13.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
271,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34-357,1990,13.2,0,10,3,30.0,0.76,0.23,0.00,0.00,24.7,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
272,Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29-212,1995,13.2,5,32,12,37.5,2.43,0.91,0.16,0.42,17.7,0,0,1,5.4,4.6,0.14,-0.4,+0.4,Matches
273,Sander Berge,no NOR,MF,Fulham,eng Premier League,26-353,1998,12.6,0,1,0,0.0,0.08,0.00,0.00,,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
274,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,18-365,2006,6.2,0,4,0,0.0,0.64,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
275,Medon Berisha,al ALB,MF,Lecce,it Serie A,21-103,2003,2.7,0,9,4,44.4,3.36,1.49,0.00,0.00,29.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
276,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26-266,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16.0,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches
